#Key      Site YYYY-MM-DD HM:MI:SC           X[m]          Y[m]          Z[m]     dN[m]    dE[m]    dU[m]     rN[m]    rE[m]    rU[m]  s1D[m]  Used  NoK  Have  Expt SV XX DOP C[s] A[#]   R[%]
 FIT KZ0100CZE 2025-06-08 12:00:00   3975230.9539   992210.6520  4872326.6447   -0.0017  -0.0005  -0.0063    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-09 12:00:00   3975230.9523   992210.6508  4872326.6465    0.0008  -0.0013  -0.0060    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-10 12:00:00   3975230.9537   992210.6523  4872326.6480    0.0005  -0.0002  -0.0038    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-11 12:00:00   3975230.9563   992210.6524  4872326.6512    0.0006  -0.0007   0.0003    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-12 12:00:00   3975230.9572   992210.6536  4872326.6503   -0.0008   0.0002   0.0003    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-13 12:00:00   3975230.9560   992210.6534  4872326.6486   -0.0010   0.0004  -0.0017    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-14 12:00:00   3975230.9561   992210.6525  4872326.6511    0.0007  -0.0006   0.0000    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-15 12:00:00   3975230.9561   992210.6524  4872326.6509    0.0005  -0.0006  -0.0001    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-16 12:00:00   3975230.9556   992210.6526  4872326.6507    0.0007  -0.0004  -0.0006    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-17 12:00:00   3975230.9565   992210.6530  4872326.6516    0.0006  -0.0001   0.0007    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-18 12:00:00   3975230.9597   992210.6539  4872326.6567    0.0013  -0.0001   0.0068    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-19 12:00:00   3975230.9569   992210.6528  4872326.6514    0.0001  -0.0004   0.0008    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-20 12:00:00   3975230.9556   992210.6539  4872326.6505    0.0004   0.0009  -0.0005    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-21 12:00:00   3975230.9526   992210.6529  4872326.6476    0.0009   0.0006  -0.0047    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-22 12:00:00   3975230.9563   992210.6535  4872326.6516    0.0006   0.0004   0.0007    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-23 12:00:00   3975230.9570   992210.6528  4872326.6517    0.0002  -0.0005   0.0010    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-24 12:00:00   3975230.9545   992210.6522  4872326.6486    0.0002  -0.0005  -0.0030    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-25 12:00:00   3975230.9625   992210.6553  4872326.6569   -0.0010   0.0006   0.0088    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-26 12:00:00   3975230.9606   992210.6545  4872326.6547   -0.0008   0.0002   0.0059    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-27 12:00:00   3975230.9561   992210.6523  4872326.6512    0.0007  -0.0008   0.0001    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-28 12:00:00   3975230.9571   992210.6543  4872326.6539    0.0013   0.0009   0.0030    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
